possibly_sensitive,lang,tweet_id,text,created_at,type
False,en,1466160028126171143,Omicron Detected in Europe Days Before South Africa Reported Variant; FDA Endorses Merck COVID Pill https://t.co/r4W68n9HbI via @democracynow,2021-11-29 21:39:25+00:00,
False,en,1466160023541886992,@dkrantz11 @Mangan150 No they didn’t!!  Only 3-5% actually died from covid!!  The rest were older with 3-4 severe health issues…👍,2021-11-29 21:39:24+00:00,replied_to
False,en,1466160023483072517,"@Andy53193328 Oh my. I'll follow the advice of the world's medical experts. People take flu jabs every year for years. If covid needs that I'll do it. Please wake up, the world isn't tricking you here! 🤣🦠",2021-11-29 21:39:24+00:00,replied_to
False,en,1466160022707187713,Amnesty's statement on increasing access to the Covid-19 vaccine.,2021-11-29 21:39:24+00:00,
False,es,1466160021910216717,"Todos anti vacunas, pero bien que harían la fila a las 4 am en las clínicas de la embajada americana por que es requisito para obtener una residencia 🙄 o no vayamos lejos, la fila para entrar al estadio después de decir que se cuiden del COVID! 😐",2021-11-29 21:39:23+00:00,
False,en,1466160021130129413,"Forced to get vaccine to remain on lung transplant list, 49 yr COVID survivor dies after 2nd Moderna shot - LifeSite https://t.co/f2hSWwFiOt",2021-11-29 21:39:23+00:00,
False,en,1466160019926364172,"@AmodyMarc @VisceraEater @HashmiMohi @tzimtzum89 @davidmedinaofa And yet somehow, mask use has been shown to cut infections.  Not 100%, but it does make a significant difference, according to a global study. https://t.co/RUrgFQS0yc",2021-11-29 21:39:23+00:00,replied_to
False,en,1466160019062374404,@MikeReiss @FieldYates Where is the supposed digger on the covid list?? That’s why you shouldn’t speculate before knowing for sure.,2021-11-29 21:39:23+00:00,replied_to
False,es,1466160018655526922,Cuadriplicamos los casos de covid en un día pero los estadios siguen llenos 🤣,2021-11-29 21:39:23+00:00,
False,fr,1466160017971691525,"@strixbubo @Karolien1231 Les #vaccins ne protègent pas des cas graves, ce sont les #mutants  #covid19 affaiblis qui prennent le dessus
Le problème est qu’on les empêche de se diffuser, c’est grâce à ces mutants que les hôpitaux sont moins remplis
https://t.co/z85nJFSyZs",2021-11-29 21:39:22+00:00,replied_to
False,en,1466160016939831296,#COVID19 Update 88: #Splatsin Health Services is holding vaccine clinics on December 8-10 to administer booster shots and the children's vaccine for ages 5-11. Read or watch the update here: https://t.co/9VJemWM5dA,2021-11-29 21:39:22+00:00,
False,en,1466160015652364289,"Oh boy, I looked into this and the woman seems very unwell. Claims he was poisoning her water, that he is responsible for the COVID-19 lockdown to stop her from leaving the country, and he used hypnotism on her friends &amp; family turning them against her. https://t.co/CSv3zKNUui",2021-11-29 21:39:22+00:00,quoted
False,en,1466160015031549960,@SnowzzYT_ @MarkCAFCSE7 @PaulOMahony5 He hasn’t had the vaccine though. Could just as well be an effect of COVID.,2021-11-29 21:39:22+00:00,replied_to
False,it,1466160014746435591,"Real, che covid, che gente, che madre todo https://t.co/nGNKirRHPG",2021-11-29 21:39:22+00:00,
False,en,1466160014473764866,"@BBCNews Sajid's thinking: ""F**k the hospitals! I wanted to be the only one wearing a high res jacket and safety hat here today. That prat always has to upstage everyone with his dressing up. Look at him, grinning with self-satisfaction, like a nursery kid."" 
https://t.co/OhoDXckip1",2021-11-29 21:39:22+00:00,replied_to
False,it,1466160013488148486,@Myrdrwin @MyabZ @borghi_claudio E il covid pure,2021-11-29 21:39:21+00:00,replied_to
False,en,1466160013068709888,"For anyone who doesn't think Nurses are getting burnt because staffing shortages, this is for you. I am at tail end of covid Pneumonia. I just got next weeks schedule. Scheduled 7 out of 7 days. (Not considered contagious as of tomorrow) So much for that AND reminded of booster",2021-11-29 21:39:21+00:00,
False,en,1466160009981665290,"@NickFerrariLBC Nick, you’re a great broadcaster but you are wrong on this one. 

77% of Covid hospitalisations are overweight, not to mention the other health issues that obesity brings, all costing NHS money to treat. 

Let him who is without sin cast the first stone.",2021-11-29 21:39:20+00:00,replied_to
False,en,1466160007897100291,Tested positive for Covid. I'm vaccinated but do feel like shit. Wouldn't recommend,2021-11-29 21:39:20+00:00,
False,en,1466160007469322243,How many more years are we going to waste with Covid. Just lost 2 years of my life.,2021-11-29 21:39:20+00:00,
False,es,1466160006806519808,"El actual brote de coronavirus (COVID-19) fue notificado por primera vez en Wuhan, China, el 31 de diciembre de 2019. A casi 2 años que el mundo a cambiado..
#COVID19 
https://t.co/PwJeNJUb9P https://t.co/T1gekCyGes",2021-11-29 21:39:20+00:00,
False,en,1466160005988638720,Stocks roar higher as traders park COVID and Fed jitters - Reuters https://t.co/958yvMpsoU via @GoogleNews,2021-11-29 21:39:20+00:00,
False,en,1466160005711806468,@gladiz_xcvii @AmericanAir I won't expose others or myself to COVID to save the money but how many people do? How many people don't have a choice because the trip is necessary and they can't afford to buy tickets twice?,2021-11-29 21:39:19+00:00,replied_to
False,und,1466160005112111105,@ABrownnw7 https://t.co/AX9nD7NYhj,2021-11-29 21:39:19+00:00,replied_to
False,nl,1466160004814282758,"Patiënten die zich presenteren met toegenomen blauwe plekken, in de setting van recente COVID-19 vaccin toediening, moeten worden gescreend op vaccin geïnduceerde trombocytopenie (VITT) https://t.co/LHjVAAo83K",2021-11-29 21:39:19+00:00,
False,en,1466160004768141328,"the joys of being in a Students’ Union, calling for necessary COVID safety measures and being met with abuse from ‘adults’😃🤩",2021-11-29 21:39:19+00:00,
False,en,1466160002473893891,"How much of the money NJ people need, you casually &amp; randomly give away to foreign governments? It makes no sense what Congress and the Senate debate in DC, and you just give our money for free to foreign governments! You haven’t even done a covid virus investigation in NJ! https://t.co/Xt0eByh0yw https://t.co/RQ1DkUakAr",2021-11-29 21:39:19+00:00,quoted
False,en,1466160000410267656,"@BorisJohnson Quote ""Sigh of relief in South Africa as Omicron variant appears to be ‘super mild‘ mutation with Covid death rate not jumping""",2021-11-29 21:39:18+00:00,replied_to
False,en,1466160000397725722,My husband is getting his covid booster and he just texted me a photo of a lady in the waiting area of Rite Aid with her pet PARROT lmfao,2021-11-29 21:39:18+00:00,
False,es,1466160000343191552,"Visitamos la Empresa Agropecuaria La Cuba. Sus resultados #Económicos están afectando por el bloqueo,  la COVID-19 y la falta de insumos pero existe voluntad y compromiso de los trabajadores para superar los obstáculos. @UlisesGuilarte @DiazCanelB @DrRobertoMOjeda @AlejandroGilF https://t.co/LItQjuPubV",2021-11-29 21:39:18+00:00,
False,en,1466159999592251399,"@AugustStarlight @YourAlberta @ab_vax If your mom is in #Calgary and she fits one of the categories, she could drop in to one of the mobile #covid19 clinics   https://t.co/Ef03PnsaGl",2021-11-29 21:39:18+00:00,replied_to
False,en,1466159998954737664,"We still ended up having to pick between him and Trump and for what? More COVID deaths, less stimulus, no UBI, UHC, or any of the things Biden actually promised. Just a lot of hand wringing, war mongering and oh yes, we still have concentration camps full of migrant kids.",2021-11-29 21:39:18+00:00,replied_to
False,pl,1466159998845833231,"@Joanna_Czarna Tak jest. To straszenie ludzi w TV zabija chorych.Każdy boi sie iść do lekarza zrobić testy bo zabetonuja człowieka w domu i jego  rodzinę..
#Znieść kwarantanne 
#zacząć normalnie leczyc 
#stosować wszystkie leki które się sprawdzały przy covid 
#I przestać o tym pierdolic w TV",2021-11-29 21:39:18+00:00,replied_to
False,es,1466159998388641795,"Lo dijo la Presidenta del FMI,recuérdenlo. Sobran viejos.
¿La solución pueden ser las vacunas?¿ El covid u otras pandemias?
Sin cotizantes las pensiones son inviables en cualquier Estado. Piénsenlo
A veces la realidad supera la ficción.",2021-11-29 21:39:18+00:00,replied_to
False,fr,1466159998363439107,"Le bled c'est vrm un autre monde
Vous savez que depuis que j'suis venu ici j'ai vu personne mettre le masque ?? On dirait que le covid n'a jamais existé quel bonheur",2021-11-29 21:39:18+00:00,
False,en,1466159995016339476,"@De_Grutte_Pier @usehead_heart @EliPajuelo @MarkFriesen08 For example:

https://t.co/yN6xCx4jMn https://t.co/evLuCN6BC2",2021-11-29 21:39:17+00:00,replied_to
False,fr,1466159994731208718,"@dupontaignan Quant à la République Dominicaine, elle a rendu la vaccination obligatoire pour se rendre dans des lieux fermés et emprunter les transports publics. 
https://t.co/cKbpHeUBRP",2021-11-29 21:39:17+00:00,replied_to
False,en,1466159992377991169,"This needs more attention: ""The HPV vaccine and the measles/mumps/rubella (MMR) shot are two-dosers; the vaccines that block hepatitis B use three shots; the diphtheria/tetanus/acellular pertussis (DTaP) vaccine uses five, and that’s all before boosts.""

https://t.co/RHXTdUjIiH",2021-11-29 21:39:16+00:00,
False,en,1466159992235511817,"@jamienaylor No, I agree. If we wouldn’t have witnessed what happened at the Euro’s I think we’d still be hearing less or next to nothing about these medical emergencies too. I learned CPR in the early 00s, cardiac arrests unfortunately happen and did so pre covid to boot.",2021-11-29 21:39:16+00:00,replied_to
False,en,1466159992147304451,"@LovinskiPaula @BillKristol TRUMP SHOULD BE SUBPOENAED TO TESTIFY UNDER OATH BEFORE CONGRESS WITH RESPECT TO HAVING COVID

TRUMP IS GUILTY OF HAVING COVID UNTIL PROVEN INNOCENT OF HAVING COVID

TRUMP SHOULD BE FORCED TO PROVE HIS ASSERTION.  HIS ACCUSERS DON'T NEED TO PROVE HE HAD COVID",2021-11-29 21:39:16+00:00,replied_to
False,en,1466159990931345408,Instagram Auto-Income 2021 (COVID-19 approved!) – Join Now – Make Money – ProfitsGram https://t.co/Pzo9Rlbr3B,2021-11-29 21:39:16+00:00,
False,en,1466159990037790720,"Maybe it’s time for the WH to start daily COVID briefings. Because if the Delta Variant is allowed to mutate unchecked, it may become a vaccine-proof strain. Then we’re back to square one, lockdowns, and a new vaccine for 300M people.07",2021-11-29 21:39:16+00:00,
False,es,1466159989593034752,"Compartimos puntos de vacunación móviles #Covid_19 para mañana jueves 2 de diciembre en las comunas de Copiapó y Vallenar. 

#YoMeVacuno✌️ https://t.co/2GwQ2mQGXB",2021-11-29 21:39:16+00:00,
False,fr,1466159989169532931,"Le Scientifique chimiste et spécialiste européen de l’hydroxyde de graphène, Andreas Noak, a été assassiné après la publication de cette vidéo, qui prouve que les vaccins COVID sont des armes biologiques de destruction massive.
https://t.co/czT0tT2md9",2021-11-29 21:39:16+00:00,
False,it,1466159988724965381,«Il piano pandemico valido per il Covid». Le carte inchiodano il ministro Speranza https://t.co/oObBrq156D,2021-11-29 21:39:15+00:00,
False,en,1466159988485804035,"@C05percent @RatingsWord @atouchofsense Hold on I'm getting confused..

You said you only know one person who had died of covid but you are adamant they didn't he died of a heart attack and covid wasn't listed on his death certificate either so I'm not sure what you are getting at as it wasn't a covid death. https://t.co/4pYnxWwCwm",2021-11-29 21:39:15+00:00,replied_to
False,es,1466159987747659778,Diciembre inició sin fallecidos por COVID-19 en Uruguay; hay 272 casos nuevos https://t.co/k50mVzT1LD,2021-11-29 21:39:15+00:00,
False,en,1466159987588317192,"@kevinpurcell @trvrb Ohhh, ok. Weird. Then, not to be flippant, but why care? Because of its effect solely on transmission? Like keeping it under control. Or also symptomatic vs asymptomatic infection too? Is it necessarily a bad thing if a milder form of Covid circulates and displaces delta?",2021-11-29 21:39:15+00:00,replied_to
False,es,1466159987315646466,"@AlmeidaPP_ Como tu partido imponiendo el pasaporte covid obligatorio atentando contra las libertades de todos.
Sois lo peor",2021-11-29 21:39:15+00:00,replied_to
False,fr,1466159987118465026,@Softroader @nathanpsmad C'est le cas pour plein d'autres maladies que le covid. Doit on arrêter de vivre pour autant?,2021-11-29 21:39:15+00:00,replied_to
False,en,1466159986724245508,"@SusanStJames3_ Most of Covid cases comes from washing machine. Myself I didn’t clean a sheet since 2020. My house it smell, but I am safe.",2021-11-29 21:39:15+00:00,replied_to
False,pt,1466159985914753024,"𝐏𝐀𝐍𝐃𝐄𝐌𝐈𝐀 𝐄𝐌 𝐒𝐎𝐑𝐎𝐂𝐀𝐁𝐀 - O secretário da Saúde, Vinicius Rodrigues, comentou que a previsão, feita pela pasta, tem início neste fim de ano. #covid19 #sorocaba #cruzeirofm
https://t.co/4qxykQqfdM",2021-11-29 21:39:15+00:00,
False,es,1466159985864413193,@ofmateu1 @CachitoMarrero @LuisLacallePou Decime 5 coss positivas que ha hecho el gobierno multicolor. Te ayudo con una si queres el sistema de vacunacion contra el covid si bien llegaron un poco tarde pero en fin considero q estuvo bien como se planifico. Despues en estos 2 años no hay nada destacable,2021-11-29 21:39:15+00:00,replied_to
False,en,1466159984438398985,Instagram Auto-Income 2021 (COVID-19 approved!) – Join Now – Make Money – ProfitsGram https://t.co/LpuGHu7LZ3,2021-11-29 21:39:14+00:00,
False,en,1466159983725326339,"Psaki goes off on GOP for threatening a gov’t shutdown over vaccine mandates &amp; withholding Trump’s positive COVID test.

https://t.co/qkMjgWTsA1",2021-11-29 21:39:14+00:00,
False,en,1466159981988876289,"Heads up, booster backers. 

Alberta will announce on Wednesday its expanded COVID-19 booster shot program for people 18+, CityNews has learned https://t.co/zrwcY3n88t

#yeg #yyc #ableg",2021-11-29 21:39:14+00:00,
False,und,1466159980495527936,https://t.co/UuoxKyqS8N,2021-11-29 21:39:13+00:00,
False,en,1466159976997695492,Instagram Auto-Income 2021 (COVID-19 approved!) – Join Now – Make Money – ProfitsGram https://t.co/hhqrT01XrJ,2021-11-29 21:39:13+00:00,
False,en,1466159976880254982,"BREAKING NEWS: $EPWCF Empower Clinics Successfully Completes Health Canada Review To Sell Covid-19 At-Home Saliva Collection Kit 
    https://t.co/e8lq6FRla5
     #MWN #Stocks @adam_waters89 @proactive_ca  $ABUS $AABB $PEXZF $FIFG  via @MarketWN",2021-11-29 21:39:13+00:00,
False,en,1466159976762724367,"@RodHalvorsen I've seen:
1. Shut up, anti-vaxer.
2. FIFA is not aware of it. It's only rumor at this point.
3. There's no causal evidence it's from the vax.
4. It was actually Covid (!)
5. Okay, maybe it's a thing, but it's worth it to save millions of grannies - you selfish anti-vaxer.",2021-11-29 21:39:13+00:00,replied_to
False,en,1466159976657862658,WAYNE ROOT: How I Beat Covid in 48 Hours with Ivermectin - Just Like Joe Rogan and NFL Quarterback Aaron Rodgers https://t.co/801EdpmUYq,2021-11-29 21:39:13+00:00,
False,en,1466159975932338182,"This fits in with my friend who works in the care sector and has put in a self certification which ends Dec 24th. Her GP has refused to give her a medical exemption and has previously had covid. What are your views on this? VP?
@EssexPR @TonyHinton2016 @DrHoenderkamp @danwootton https://t.co/SW76IQsAoy",2021-11-29 21:39:12+00:00,quoted
False,en,1466159975785504769,"@actdottv This is why the GOP is actively spreading Covid, so they can absolve tRump from all the Covid deaths he caused. The GOP wants more people to die under Biden’s watch, so they can say tRump did better 
cc: @PeterHotez @DrEricDing",2021-11-29 21:39:12+00:00,replied_to
False,en,1466159974262972421,Writing about #COVID19 antiviral treatments and need an expert quickly? Check out @RealSciLine’s #COVID19 expert resources specifically on antiviral drugs. See here: https://t.co/LZE0Z5BhH7,2021-11-29 21:39:12+00:00,
False,en,1466159974116212743,"Hochul's administration clarified today that its emergency order on COVID-19 was citing transmission rates from April of this year, not April 2020 because of a clerical error. 
https://t.co/tESN1dc5Pm",2021-11-29 21:39:12+00:00,
False,en,1466159973998776328,I just remembered that I arrived to work this morning and my friend told me she had a dream I got Covid &amp; was intubated and she was crying? 🥴 yp just be saying things,2021-11-29 21:39:12+00:00,
False,en,1466159973176688650,Remembering I was going to tour Europe with an established act before COVID &amp; it didn’t work out https://t.co/mmenFFn0rr,2021-11-29 21:39:12+00:00,
False,en,1466159972798976002,"Between 2007 and 2016, Australian companies went sideways.  Was the COVID reset and stimulus just the shot in the arm that was needed to kickstart a new growth cycle? https://t.co/ZhJGYCohft",2021-11-29 21:39:12+00:00,
False,en,1466159972300034050,"The federal government has also closed its border to foreign nationals who have recently travelled through 10 African countries, including Nigeria. https://t.co/hupxGWPQbQ",2021-11-29 21:39:11+00:00,
False,es,1466159971129827331,"Crisis en la cabeza y domingo por la tarde urgencias, me diagnostican faringitis. Tras terminar antibióticos después de dos pruebas covid, tener que volver miércoles por la mañana por otra crisis que me deja sin visión en la carretera, hospitales privados y sin cita hasta 13/1/22 https://t.co/7rfyFoCXFx",2021-11-29 21:39:11+00:00,quoted
False,en,1466159970408411141,@mynamesnotgordy I am so po'd about this - as a sole prop with no staff (had one I had to lay off due to COVID) my business didn't even qualify for the PPE/cleaning expenses I incurred to operate safely while Premier Fuckface promised he'd have our backs. I hear Galen Weston is happy though.,2021-11-29 21:39:11+00:00,replied_to
False,es,1466159968294420490,"1 de diciembre, no paro de estornudar, no tengo COVID, ni omicron, tengo alergia a la navidad.",2021-11-29 21:39:11+00:00,
False,en,1466159968231510024,@msdelmyriveraa covid,2021-11-29 21:39:11+00:00,replied_to
False,pt,1466159967514374152,@clubedopairico Se espirrou foi covid... só  que omicron.,2021-11-29 21:39:10+00:00,replied_to
False,nl,1466159967233351680,Zo even ander nieuws https://t.co/PrtCYUS5Rc,2021-11-29 21:39:10+00:00,
False,tr,1466159967174643718,"#BRENT
Ups!

Teknik haberi çağırıyorsa ve bu Brent tekrar yükselen kırmızı üzerine çıkamıyorsa, Covid ile ilgili kötü haberler geliyor olabilir.

Sat vermeden, stop gelmeden elinizdekileri kaptırmayın ama borsalarda dikkatli olmayı tavsiye ederim. https://t.co/aajhaWfPZ2",2021-11-29 21:39:10+00:00,
False,en,1466159966419660813,Brain problems found in 1% of hospitalized COVID-19 patients; real-world data shows Moderna vaccine highly effective https://t.co/BKsxfIPstu,2021-11-29 21:39:10+00:00,
False,en,1466159965857583106,"@Chairface5 You don't need to rely on their hidden data. You can just see the real world drop in deaths and hospitalizations, even though they don't prevent getting COVID entirely as much as we had hoped. They're still miracles.",2021-11-29 21:39:10+00:00,replied_to
False,en,1466159965773742085,"Remdesivir for covid??? Why??

“Based on the currently available evidence, we are moderately certain that remdesivir probably has little or no effect on all-cause mortality at up to day 28 in hospitalised adults w/ SARS-CoV-2 infection.” https://t.co/6AYzeGkaEp",2021-11-29 21:39:10+00:00,
False,pt,1466159965333344256,Hospital do Oeste passa a exigir comprovação de vacina contra COVID-19 para visitantes e acompanhantes https://t.co/A39KRXZ41G,2021-11-29 21:39:10+00:00,
False,es,1466159964154703876,"@malmeke @margem21 @F_Sanchez_Drago Aquí están las declaraciones de la doctora que descubrió esta variante y comenta que los síntomas son inusualmente leves. Y aquí, en Europa te los venden como graves  y hasta tienen los efectos adversos de la vacuna 🤣Plumero a la vista, una vez más https://t.co/AVuHWSgGr1",2021-11-29 21:39:10+00:00,replied_to
False,fr,1466159963840073734,"Covid-19: de la Grèce à l’Allemagne, l’obligation vaccinale fait son chemin en Europe – BFMTV https://t.co/kIxvUJmgip",2021-11-29 21:39:09+00:00,
False,en,1466159963768643584,@cz_binance @binance  is more contagious than COVID but in good terms 🤑❤️,2021-11-29 21:39:09+00:00,replied_to
False,en,1466159963663970306,"#humanupgrades

Beyond thankful to @NorthernEssex and my colleagues, Rosanna and Marissa (not in this picture), for providing our campus community with the opportunity to get our COVID-19 vaccination/booster and flu shot. Looking forward to having more students on campus in 2022! https://t.co/dSzO1CQP68",2021-11-29 21:39:09+00:00,
False,en,1466159962514731010,"No, but COVID made a 'guinea pig' out of her

Fitness Enthusiast Who Died of COVID Didn't Want to Be 'Guinea Pig' With Vaccine https://t.co/CFZXdxmpOD",2021-11-29 21:39:09+00:00,
False,en,1466159961340317697,@danbarker @TrafalgarsTree @trafalgartree Did COVID also socially distance the branches of this Fern...or its just unforgiving on our retinas,2021-11-29 21:39:09+00:00,replied_to
False,de,1466159960178442251,"@UniHannover verstehe ich das richtig, dass Prof. Stefan Homburg die Meinung der Universität Hannover vertritt, wenn er sagt die aktuelle bundesweite Verlegung von Covid-Patienten sei eine ""reine Show, damit man die Bundeswehr vorzeigen kann""? https://t.co/8h3UHGWqdr",2021-11-29 21:39:09+00:00,
False,fr,1466159959482249216,"Covid-19: de la Grèce à l’Allemagne, l’obligation vaccinale fait son chemin en Europe – BFMTV https://t.co/gLwBGXWM5t",2021-11-29 21:39:08+00:00,
False,en,1466159958563733513,"No. Even if less virulent this coronavirus mutates rapidly, making it more like other coronaviruses (e.g. common cold) where infection bestows no immunity whatsoever. More important is if the new variant attacks brain, liver, heart &amp; kidneys like Covid. If not, then it's better. https://t.co/GVYss3RGTd",2021-11-29 21:39:08+00:00,quoted
False,en,1466159958098071565,@r1p0st3_crypt0 @tmacsalt @mcuban @smdiehl Look into CityXChange and you'll see they're already doing this or look at the amsterdam covid vaccines and you'll see that they can indeed force people to use IOTA data transfer.,2021-11-29 21:39:08+00:00,replied_to
False,en,1466159956428607489,At this rate we are going to have Covid variants named after fraternities that are almost as virulent. https://t.co/vce0lUE34C,2021-11-29 21:39:08+00:00,quoted
False,en,1466159955325571072,"@ContraryMeri @BillKristol TRUMP SHOULD BE SUBPOENAED TO TESTIFY UNDER OATH BEFORE CONGRESS WITH RESPECT TO HAVING COVID

TRUMP IS GUILTY OF HAVING COVID UNTIL PROVEN INNOCENT OF HAVING COVID

TRUMP SHOULD BE FORCED TO PROVE HIS ASSERTION.  HIS ACCUSERS DON'T NEED TO PROVE HE HAD COVID",2021-11-29 21:39:07+00:00,replied_to
False,en,1466159955191422987,"@rustydish2331 @GovKathyHochul So your opinion is a “fact” I don’t think sooo. Don’t be so sour we’re getting it right in the city. Mandates work, vaccines/booster work. BS doesn’t. Everyday without a death and COVID hospitalizationS down is to be celebrated not debated.",2021-11-29 21:39:07+00:00,replied_to
False,es,1466159954981756934,"@Reforma Pura selecciòn natural…. A ver si despues les cumple con los tratamientos contra Covid e influenza…. Pero pues, nadie los obliga asi que no se perderá demasiado 😊",2021-11-29 21:39:07+00:00,replied_to
False,en,1466159954793054214,@Ryan__Rigg Probably look red since the whole market is scared cuz of the new covid strain in California.,2021-11-29 21:39:07+00:00,replied_to
False,en,1466159954583298054,"@soulpole415 @TaraAnnThieke Again, had Covid last year.
Not sure of your point.
Shall we keep going?",2021-11-29 21:39:07+00:00,replied_to
False,en,1466159954281308167,"OPINION: The differentiated announcements of such is ""night and day"" IF, IF, IF, the initial covid declarations was announced in JANUARY 2020, What would the country resemble now?",2021-11-29 21:39:07+00:00,
False,en,1466159953928990721,@Zubhaque talking shite about covid since March 2020!!!!,2021-11-29 21:39:07+00:00,replied_to
False,en,1466159953534726155,COVID-19 has slows down progress to fight against HIV/AIDS: Makhura https://t.co/BTjV3UoPA0,2021-11-29 21:39:07+00:00,
False,de,1466159952972689411,"@Nasobem_lyricum Ob es Ärzte gibt die Ivermectin verschreiben? Als COVID Prophylaxe meine ich, nicht bei sowas banalem wie Krätze oder so.",2021-11-29 21:39:07+00:00,replied_to
False,es,1466159952569982977,@JoanDasquens @BeatrizTalegon Fallecidos por covid o con covid?,2021-11-29 21:39:07+00:00,replied_to
False,en,1466159951924002819,"COVID applying the pressure that it is on the economy, especially in big cities with disparate populations living side by side, is the reason I don't post wins. 

It was already unnecessary, but now it's getting dangerous.",2021-11-29 21:39:07+00:00,
False,en,1466159951357755392,"Aly &amp; AJ were the last concert my sister and I went to in December of 2019 and they're going to be our first post-Covid concert in 2022. 

I wish I could send a message back in time to 2007, my past self would be so excited for current me. 😂 https://t.co/pnHMGuxJoi",2021-11-29 21:39:06+00:00,quoted
False,en,1466159951085199361,@Patriotic9erFan Yes- this is the end of normaly future.- by the way: new metastudy about long Covid by childs- they can't found abnormal things vs.control groups https://t.co/elHeFHdtlU,2021-11-29 21:39:06+00:00,replied_to
